edge_threshold,kelly_fraction,sharpe,total_pnl,trade_count
0.05,0.1,3.6176,13.4972,188
0.05,0.2,3.6176,13.4972,188
0.05,0.3,3.6176,13.4972,188
0.05,0.4,3.6176,13.4972,188
0.05,0.5,3.6176,13.4972,188
0.05,0.6,3.6176,13.4972,188
0.05,0.7,3.6176,13.4972,188
0.075,0.1,4.8616,13.0226,143
0.075,0.2,4.8616,13.0226,143
0.075,0.3,4.8616,13.0226,143
0.075,0.4,4.8616,13.0226,143
0.075,0.5,4.8616,13.0226,143
0.075,0.6,4.8616,13.0226,143
0.075,0.7,4.8616,13.0226,143
0.1,0.1,6.5824,13.6517,108
0.1,0.2,6.5824,13.6517,108
0.1,0.3,6.5824,13.6517,108
0.1,0.4,6.5824,13.6517,108
0.1,0.5,6.5824,13.6517,108
0.1,0.6,6.5824,13.6517,108
0.1,0.7,6.5824,13.6517,108
0.125,0.1,5.9596,7.874,70
0.125,0.2,5.9596,7.874,70
0.125,0.3,5.9596,7.874,70
0.125,0.4,5.9596,7.874,70
0.125,0.5,5.9596,7.874,70
0.125,0.6,5.9596,7.874,70
0.125,0.7,5.9596,7.874,70
0.15,0.1,4.3729,4.0564,46
0.15,0.2,4.3729,4.0564,46
0.15,0.3,4.3729,4.0564,46
0.15,0.4,4.3729,4.0564,46
0.15,0.5,4.3729,4.0564,46
0.15,0.6,4.3729,4.0564,46
0.15,0.7,4.3729,4.0564,46
0.175,0.1,4.1739,1.5402,21
0.175,0.2,4.1739,1.5402,21
0.175,0.3,4.1739,1.5402,21
0.175,0.4,4.1739,1.5402,21
0.175,0.5,4.1739,1.5402,21
0.175,0.6,4.1739,1.5402,21
0.175,0.7,4.1739,1.5402,21
0.2,0.1,6.9597,1.8263,11
0.2,0.2,6.9597,1.8263,11
0.2,0.3,6.9597,1.8263,11
0.2,0.4,6.9597,1.8263,11
0.2,0.5,6.9597,1.8263,11
0.2,0.6,6.9597,1.8263,11
0.2,0.7,6.9597,1.8263,11
