date,market_id,city,side,model_yes_prob,market_yes_price,win_prob,entry_price,edge,cash,quantity,exit_price,exit_reason,settlement_value,actual_win,pnl,bankroll_after,return_on_cost,result,regime_uncertainty
2025-09-05,demo_nyc_2025-09-05,nyc,yes,0.5839,0.4368,0.5839,0.4368,0.1471,0.5,1.144689,0.34,stop_loss,1.0,True,-0.1108,2.8892,-0.2216,loss,high
2025-09-06,demo_chicago_2025-09-06,chicago,no,0.4426,0.5431,0.5574,0.4569,0.1005,0.5,1.094331,1.0,settlement,0.0,True,0.5943,3.4835,1.1886,win,normal
2025-09-08,demo_miami_2025-09-08,miami,no,0.4769,0.5982,0.5231,0.4018,0.1213,0.5,1.2444,0.34,stop_loss,1.0,False,-0.0769,3.4066,-0.1538,loss,normal
2025-09-10,demo_chicago_2025-09-10,chicago,yes,0.5765,0.4417,0.5765,0.4417,0.1348,0.5,1.13199,1.0,settlement,1.0,True,0.632,4.0386,1.264,win,high
2025-09-16,demo_denver_2025-09-16,denver,no,0.2953,0.4377,0.7047,0.5623,0.1424,0.5,0.889205,1.0,settlement,0.0,True,0.3892,4.4278,0.7784,win,normal
2025-09-21,demo_chicago_2025-09-21,chicago,yes,0.6454,0.5354,0.6454,0.5354,0.11,0.5,0.933881,1.0,settlement,1.0,True,0.4339,4.8617,0.8678,win,normal
2025-09-23,demo_chicago_2025-09-23,chicago,yes,0.574,0.4658,0.574,0.4658,0.1082,0.5,1.073422,0.34,stop_loss,0.0,False,-0.135,4.7267,-0.27,loss,normal
2025-09-23,demo_nyc_2025-09-23,nyc,no,0.3994,0.5103,0.6006,0.4897,0.1109,0.5,1.021033,0.34,stop_loss,0.0,True,-0.1528,4.5739,-0.3056,loss,normal
2025-09-24,demo_miami_2025-09-24,miami,no,0.4818,0.5864,0.5182,0.4136,0.1046,0.5,1.208897,0.34,stop_loss,0.0,True,-0.089,4.4849,-0.178,loss,normal
2025-10-02,demo_miami_2025-10-02,miami,yes,0.8111,0.5786,0.8111,0.5786,0.2325,0.5,0.864155,1.0,settlement,1.0,True,0.3642,4.8491,0.7284,win,normal
2025-10-03,demo_chicago_2025-10-03,chicago,yes,0.7635,0.5917,0.7635,0.5917,0.1718,0.5,0.845023,1.0,settlement,1.0,True,0.345,5.1941,0.69,win,normal
2025-10-07,demo_los_angeles_2025-10-07,los_angeles,yes,0.6739,0.545,0.6739,0.545,0.1289,0.5,0.917431,1.0,settlement,1.0,True,0.4174,5.6115,0.8348,win,normal
2025-10-07,demo_nyc_2025-10-07,nyc,yes,0.6323,0.4441,0.6323,0.4441,0.1882,0.5,1.125873,0.34,stop_loss,0.0,False,-0.1172,5.4943,-0.2344,loss,normal
2025-10-08,demo_chicago_2025-10-08,chicago,yes,0.6816,0.5318,0.6816,0.5318,0.1498,0.5,0.940203,0.34,stop_loss,1.0,True,-0.1803,5.314,-0.3606,loss,normal
